feature_1,feature_2,corr,abs_corr
combo_min__star50_limit_proximity_early__bar_ret_0,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.7291,0.7291
combo_max__star50_limit_proximity_early__bar_ret_0,rbreaker_sell_setup_proximity_early,0.7284,0.7284
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.7283,0.7283
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_min__max_up_ret__close_vs_open_range,0.7274,0.7274
combo_rank_min__close_vs_open_range__bar_ret_0,combo_rank_max__max_up_ret__early_body_momentum,0.7263,0.7263
combo_min__star50_limit_proximity_early__bar_ret_0,combo_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,0.7255,0.7255
combo_rank_min__max_up_ret__close_vs_open_range,combo_mean__star50_limit_proximity_early__close_vs_open_range,0.7253,0.7253
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_min__star50_limit_proximity_early__bar_ret_0,0.7229,0.7229
combo_rank_min__close_vs_open_range__bar_ret_0,combo_rank_min__net_volume_flow__star50_limit_proximity_early,0.7228,0.7228
combo_tri_median__rbreaker_sell_setup_proximity_early__close_vs_open_range__first_bar_sentiment,combo_mean__bar_ret_0__max_down_ret,0.7221,0.7221
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_rank_min__close_vs_open_range__bar_ret_0,0.7201,0.7201
combo_tri_mean__rbreaker_sell_setup_proximity_early__max_up_ret__close_vs_open_range,combo_rank_min__close_vs_open_range__bar_ret_0,0.7133,0.7133
combo_rank_min__net_volume_flow__star50_limit_proximity_early,combo_rank_min__max_up_ret__close_vs_open_range,0.7087,0.7087
combo_rank_min__rbreaker_sell_setup_proximity_early__bar_ret_0,combo_rank_max__first_bar_sentiment__max_down_ret,0.7086,0.7086
combo_tri_min__rbreaker_sell_setup_proximity_early__max_up_ret__first_bar_sentiment,combo_rank_max__first_bar_sentiment__max_down_ret,0.7084,0.7084
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_tri_min__net_volume_flow__star50_limit_proximity_early__close_vs_open_range,0.7071,0.7071
combo_diff__star50_limit_proximity_early__volume_weighted_momentum_acceleration,rbreaker_sell_setup_proximity_early,0.7051,0.7051
combo_clamp_diff__first_bar_return__demark_setup_reversal_early,combo_rank_max__max_up_ret__early_body_momentum,0.7014,0.7014
