date,direction,option_type,contract,strike,expiry,dtm,contracts,entry_px,exit_px,spot_entry,spot_exit,gross_pnl,commission,net_pnl,capital,stop_hit
2024-01-02,Short,P,10006302,3.4000000953674316,2024-01-24,22,62.0702,0.0217,0.0244,3.476,3.461,1675.89,8.0,1667.89,136360.21,False
2024-02-06,Long,C,10006656,3.299999952316284,2024-02-28,22,32.9372,0.0414,0.0395,3.241,3.281,-619.22,8.0,-627.22,135732.99,True
2024-02-19,Short,P,10006532,3.3289999961853027,2024-02-28,9,51.9098,0.0256,0.0222,3.365,3.386,-1823.91,8.0,-1831.91,133901.07,True
2024-02-29,Long,C,10006676,3.5,2024-03-27,27,23.0467,0.0581,0.0585,3.47,3.496,85.58,8.0,77.58,133978.65,True
2024-04-01,Long,C,10006939,3.5999999046325684,2024-04-24,23,30.5191,0.0439,0.0411,3.578,3.585,-841.51,8.0,-849.51,133129.14,True
2024-04-15,Long,C,10006938,3.5,2024-04-24,9,41.0892,0.0324,0.0501,3.497,3.524,7266.22,8.0,7258.22,140387.36,True
2024-04-26,Long,C,10007058,3.5999999046325684,2024-05-22,26,48.2431,0.0291,0.0477,3.541,3.579,8973.21,8.0,8965.21,149352.57,False
2024-05-23,Short,P,10006199,3.621999979019165,2024-06-26,34,32.2078,0.0454,0.0504,3.652,3.638,1644.85,8.0,1636.85,150989.43,False
2024-06-27,Short,P,10007361,3.4000000953674316,2024-07-24,27,70.5558,0.0214,0.0171,3.477,3.488,-3033.9,8.0,-3041.9,147947.53,True
2024-07-23,Short,P,10007482,3.5,2024-08-28,36,59.0872,0.025,0.0412,3.551,3.508,9561.36,8.0,9553.36,157500.89,False
2024-07-30,Short,P,10007481,3.4000000953674316,2024-08-28,29,36.2905,0.0434,0.041,3.429,3.433,-870.97,8.0,-878.97,156621.91,False
2024-08-05,Long,C,10007473,3.5,2024-08-28,23,43.5061,0.036,0.0307,3.448,3.413,-2320.32,8.0,-2328.32,154293.59,True
2024-08-14,Short,P,10007480,3.299999952316284,2024-08-28,14,155.8521,0.0099,0.0087,3.379,3.38,-1828.66,8.0,-1836.66,152456.93,True
2024-08-19,Long,C,10007473,3.5,2024-08-28,9,152.4569,0.01,0.0074,3.441,3.423,-3991.83,8.0,-3999.83,148457.1,True
2024-08-20,Short,P,10007481,3.4000000953674316,2024-08-28,8,63.9901,0.0232,0.0293,3.404,3.395,3903.4,8.0,3895.4,152352.49,False
2024-08-30,Long,C,10006752,3.4000000953674316,2024-09-25,26,40.0928,0.038,0.0489,3.382,3.398,4377.46,8.0,4369.46,156721.96,True
2024-09-25,Long,C,10007733,3.5999999046325684,2024-10-23,28,52.2871,0.03,0.0286,3.519,3.474,-719.76,8.0,-727.76,155994.19,True
2024-09-27,Long,C,10007735,3.799999952316284,2024-10-23,26,16.0158,0.0974,0.195,3.718,3.842,15634.01,8.0,15626.01,171620.21,True
2024-09-30,Long,C,10007965,4.0,2024-10-23,23,11.1951,0.1533,0.2789,3.939,4.127,14059.09,8.0,14051.09,185671.29,True
2024-10-09,Short,P,10008001,4.199999809265137,2024-10-23,14,12.3206,0.1507,0.1965,4.202,4.1,5643.61,8.0,5635.61,191306.9,True
2024-10-28,Short,P,10007968,4.0,2024-11-27,30,17.9294,0.1067,0.1,4.017,4.032,-1201.27,8.0,-1209.27,190097.63,False
2024-11-01,Long,C,10008003,4.099999904632568,2024-11-27,26,19.5574,0.0972,0.0923,4.002,3.992,-958.31,8.0,-966.31,189131.32,False
2024-11-12,Long,C,10008005,4.300000190734863,2024-11-27,15,27.8955,0.0678,0.0497,4.253,4.157,-5045.46,8.0,-5053.46,184077.86,True
2024-12-13,Short,P,10007232,4.0,2024-12-25,12,50.8502,0.0362,0.037,4.052,4.027,431.55,8.0,423.55,184501.41,True
2024-12-23,Long,C,10008414,4.099999904632568,2025-01-22,30,28.4486,0.0649,0.0581,4.037,4.024,-1933.16,8.0,-1941.16,182560.25,True
2025-01-16,Long,C,10008594,4.0,2025-02-26,41,29.8065,0.0612,0.0494,3.908,3.879,-3531.38,8.0,-3539.38,179020.87,True
2025-02-05,Short,P,10008601,3.799999952316284,2025-02-26,21,75.2189,0.0238,0.0255,3.897,3.886,1263.68,8.0,1255.68,180276.55,True
2025-02-11,Short,P,10008602,3.9000000953674316,2025-02-26,15,75.4295,0.0239,0.0208,3.976,3.974,-2366.48,8.0,-2374.48,177902.07,True
2025-03-12,Short,P,10007970,4.0,2025-03-26,14,52.6338,0.0338,0.0302,4.033,4.033,-1888.32,8.0,-1896.32,176005.75,True
2025-03-14,Long,C,10008013,4.099999904632568,2025-03-26,12,53.9895,0.0326,0.0476,4.063,4.1,8094.82,8.0,8086.82,184092.57,True
2025-04-16,Short,P,10008959,3.799999952316284,2025-04-23,7,69.732,0.0264,0.0261,3.829,3.828,-178.98,8.0,-186.98,183905.59,True
2025-05-13,Short,P,10009082,4.0,2025-05-28,15,42.1802,0.0436,0.0443,4.001,3.997,295.26,8.0,287.26,184192.86,False
2025-06-11,Long,C,10008283,4.099999904632568,2025-06-25,14,127.9117,0.0144,0.0116,4.019,4.007,-3637.81,8.0,-3645.81,180547.05,True
2025-06-24,Long,C,10009442,4.0,2025-07-23,29,67.0683,0.0269,0.0257,3.932,3.934,-828.57,8.0,-836.57,179710.48,True
2025-12-10,Short,P,10009632,4.599999904632568,2025-12-24,14,68.5918,0.0262,0.0226,4.666,4.706,-2468.62,8.0,-2476.62,177233.86,True
