feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
vix_change_3d,300ETF,0.016027,5.1278,3,False,4,False,1571
vix_term_structure_proxy,300ETF,0.021063,2.3847,2,False,3,False,1571
obv_slope_10d,500ETF,-0.002465,28.3968,8,False,4,False,3230
ad_line_slope_10d,500ETF,-0.026143,2.1553,5,False,2,False,3230
negative_volume_index_change,500ETF,-0.011049,4.2592,6,False,2,False,3235
positive_volume_index_change,500ETF,-0.013194,4.1759,6,False,3,False,3235
force_index_10d,500ETF,-0.013351,3.9824,6,False,3,False,3221
ease_of_movement_10d,500ETF,-0.000647,154.7568,7,False,3,False,3212
money_flow_index_14d,500ETF,0.006412,9.7794,6,True,1,False,3227
pvt_slope_10d,500ETF,-0.007679,9.5678,7,False,5,False,3229
volume_differential_10d,500ETF,-0.003018,23.0661,8,False,4,False,3231
return_skewness_20d,500ETF,0.003655,19.9165,7,False,3,False,3220
return_kurtosis_20d,500ETF,0.010227,4.8627,5,False,4,False,3220
path_loopiness_5d,500ETF,-0.016462,1.9749,2,False,2,False,3235
ulcer_index_14d,500ETF,-0.017529,2.7685,8,False,2,False,3214
current_drawdown_from_peak_20d,500ETF,-0.036378,1.7769,5,False,2,False,3221
max_drawdown_20d,500ETF,0.046708,1.6551,5,True,1,False,3202
mfe_mae_ratio_5d,500ETF,-0.014585,4.2293,5,False,4,False,3236
pain_index_20d,500ETF,-0.017685,3.629,5,True,1,False,3202
amihud_illiquidity_10d,500ETF,0.00835,2.1309,1,False,4,False,3230
liquidity_efficiency_ratio_10d,500ETF,0.049647,1.1052,2,True,1,True,3181
roll_spread_proxy_10d,500ETF,-0.017173,3.2258,5,False,2,False,3230
volume_per_trade_trend_5d,500ETF,0.009562,7.6259,7,False,4,False,3221
turnover_zscore_20d,500ETF,0.031414,1.6604,4,True,1,False,3221
weekly_return_5d,500ETF,-0.023374,2.6616,6,False,2,False,3220
weekly_atr_position,500ETF,-0.039905,0.8546,3,True,0,False,3236
monthly_high_proximity,500ETF,-0.018229,3.4375,6,False,4,False,3220
quarterly_trend_direction,500ETF,-0.022469,2.9463,5,False,3,False,3227
monthly_momentum_zscore,500ETF,-0.016749,4.7023,6,False,3,False,3160
options_expiry_proximity,500ETF,0.041033,1.4891,4,False,2,False,3240
first_day_of_month_flag,500ETF,-0.011478,6.2539,6,False,3,False,3240
week_of_month,500ETF,-0.020769,2.7848,4,False,3,False,3240
pre_holiday_flag,500ETF,0.003107,17.5213,6,False,4,False,3240
month_end_effect_5d,500ETF,0.000239,311.3632,7,False,4,False,3240
cross_asset_breadth_score,500ETF,0.000773,31.562,3,False,5,False,3240
size_rotation_50_300,500ETF,-0.026966,2.0382,3,False,2,False,3240
breadth_rotation_500_300,500ETF,-0.017855,3.6006,6,False,2,False,3240
growth_rotation_588_300,500ETF,-0.002017,16.0546,3,False,6,False,3240
growth_rotation_159915_300,500ETF,0.01998,2.6807,5,False,3,False,3240
cross_asset_return_dispersion_z,500ETF,0.016792,4.6809,7,False,2,False,3240
cross_asset_avg_correlation,500ETF,0.012252,5.3443,6,False,4,False,3240
relative_strength_vs_cross_5d,500ETF,-0.005573,6.8163,3,False,5,False,3240
vix_level_zscore_60d,500ETF,0.013926,4.3671,2,False,4,False,906
vix_change_3d,500ETF,-0.008956,6.5915,1,False,4,False,906
vix_term_structure_proxy,500ETF,0.027531,2.1254,3,False,2,False,906
obv_slope_10d,50ETF,-0.007244,6.5998,8,False,3,False,3955
ad_line_slope_10d,50ETF,-0.030549,1.3557,6,False,1,False,3955
negative_volume_index_change,50ETF,0.020167,2.8708,7,False,3,False,3955
positive_volume_index_change,50ETF,-0.050836,1.0932,3,True,1,False,3955
force_index_10d,50ETF,-0.039331,1.347,4,False,2,False,3955
ease_of_movement_10d,50ETF,-0.017294,3.0696,8,False,2,False,3955
money_flow_index_14d,50ETF,-0.03077,1.254,3,False,2,False,3955
pvt_slope_10d,50ETF,-0.042883,1.0362,2,False,1,False,3955
volume_differential_10d,50ETF,-0.007857,6.1718,7,False,3,False,3955
return_skewness_20d,50ETF,-0.025738,2.1738,6,True,1,False,3955
return_kurtosis_20d,50ETF,-0.014749,4.056,9,False,2,False,3955
path_loopiness_5d,50ETF,-0.015783,4.0687,8,False,3,False,3955
ulcer_index_14d,50ETF,-0.020302,3.7018,8,False,2,False,3955
current_drawdown_from_peak_20d,50ETF,-0.046529,0.7488,1,False,2,False,3955
max_drawdown_20d,50ETF,0.045892,1.186,3,False,2,False,3955
mfe_mae_ratio_5d,50ETF,-0.029301,1.952,6,False,2,False,3955
pain_index_20d,50ETF,0.040156,1.3216,5,True,0,False,3955
liquidity_efficiency_ratio_10d,50ETF,0.031318,2.2832,5,False,3,False,3955
roll_spread_proxy_10d,50ETF,-0.007588,8.0428,7,False,3,False,3955
volume_per_trade_trend_5d,50ETF,-0.023005,1.9653,5,False,2,False,3955
turnover_zscore_20d,50ETF,-0.028664,1.9557,6,True,1,False,3955
weekly_return_5d,50ETF,-0.025372,2.0552,7,False,3,False,3955
weekly_atr_position,50ETF,-0.01248,3.7431,7,False,4,False,3955
monthly_high_proximity,50ETF,-0.0416,1.1573,3,False,1,False,3955
quarterly_trend_direction,50ETF,-0.057246,0.8278,1,True,1,True,3955
monthly_momentum_zscore,50ETF,-0.046041,1.104,4,True,0,False,3934
options_expiry_proximity,50ETF,0.058282,1.2242,4,False,1,False,3955
first_day_of_month_flag,50ETF,0.000991,83.0245,7,False,5,False,3955
week_of_month,50ETF,-0.018105,3.0309,7,False,2,False,3955
pre_holiday_flag,50ETF,-0.00401,15.4462,8,False,3,False,3955
month_end_effect_5d,50ETF,0.021474,2.8488,6,False,2,False,3955
cross_asset_breadth_score,50ETF,0.009564,3.3295,1,False,5,False,3955
size_rotation_50_300,50ETF,-0.018581,2.7851,5,False,3,False,3955
breadth_rotation_500_300,50ETF,-0.012821,2.9374,4,False,2,False,3955
growth_rotation_588_300,50ETF,0.00956,3.0101,1,False,5,False,3955
growth_rotation_159915_300,50ETF,0.016628,2.8299,4,False,3,False,3955
cross_asset_return_dispersion_z,50ETF,0.030208,1.4915,5,True,0,False,3955
cross_asset_avg_correlation,50ETF,-0.00648,5.4951,6,False,3,False,3955
relative_strength_vs_cross_5d,50ETF,-0.003472,11.7175,3,False,6,False,3955
vix_level_zscore_60d,50ETF,-0.027038,2.6571,4,False,3,False,2748
vix_change_3d,50ETF,-0.012773,6.7036,5,False,3,False,2748
vix_term_structure_proxy,50ETF,-0.020822,2.4736,3,False,1,False,2748
obv_slope_10d,588000ETF,0.043492,1.0699,2,False,2,False,1364
ad_line_slope_10d,588000ETF,0.000685,62.9954,3,False,3,False,1364
negative_volume_index_change,588000ETF,0.00984,4.6535,3,False,3,False,1369
positive_volume_index_change,588000ETF,-0.029982,2.0093,2,False,2,False,1369
force_index_10d,588000ETF,0.016435,3.351,4,False,3,False,1355
ease_of_movement_10d,588000ETF,0.051438,0.9904,1,True,1,True,1346
money_flow_index_14d,588000ETF,0.076511,1.0391,1,True,1,True,1361
pvt_slope_10d,588000ETF,0.021419,2.6191,2,False,3,False,1363
volume_differential_10d,588000ETF,0.042419,1.1267,2,True,1,True,1365
return_skewness_20d,588000ETF,-0.01426,2.6744,1,False,3,False,1354
return_kurtosis_20d,588000ETF,0.008751,5.549,4,False,4,False,1354
path_loopiness_5d,588000ETF,-0.016258,3.1198,3,False,3,False,1369
ulcer_index_14d,588000ETF,0.00842,6.6601,4,False,5,False,1348
current_drawdown_from_peak_20d,588000ETF,-0.001646,31.8351,3,False,4,False,1355
max_drawdown_20d,588000ETF,0.018583,3.4496,3,False,3,False,1336
mfe_mae_ratio_5d,588000ETF,0.003563,14.128,5,False,4,False,1370
pain_index_20d,588000ETF,-0.040994,1.47,3,False,2,False,1336
liquidity_efficiency_ratio_10d,588000ETF,0.0209,3.5459,3,False,2,False,1315
roll_spread_proxy_10d,588000ETF,-0.05446,1.385,1,True,1,True,1364
volume_per_trade_trend_5d,588000ETF,0.035687,1.8126,2,False,2,False,1355
turnover_zscore_20d,588000ETF,-0.009224,7.6717,3,False,4,False,1355
weekly_return_5d,588000ETF,-0.007453,7.0727,2,False,2,False,1354
weekly_atr_position,588000ETF,-0.015083,4.6434,3,False,3,False,1370
monthly_high_proximity,588000ETF,0.000921,71.6509,3,False,3,False,1354
quarterly_trend_direction,588000ETF,-0.00329,20.4306,2,False,2,False,1361
monthly_momentum_zscore,588000ETF,0.009277,3.5839,3,False,3,False,1294
options_expiry_proximity,588000ETF,0.014524,7.9172,5,False,5,False,1374
first_day_of_month_flag,588000ETF,-0.045665,1.4407,2,False,2,False,1374
week_of_month,588000ETF,0.053675,1.3083,2,False,3,False,1374
pre_holiday_flag,588000ETF,0.004496,9.8435,3,False,2,False,1374
month_end_effect_5d,588000ETF,0.027367,2.0536,2,False,3,False,1374
cross_asset_breadth_score,588000ETF,-0.018359,1.5705,3,False,2,False,1374
size_rotation_50_300,588000ETF,0.013038,4.595,3,False,3,False,1374
breadth_rotation_500_300,588000ETF,0.041025,1.402,2,False,2,False,1374
growth_rotation_588_300,588000ETF,-0.024915,4.106,3,False,3,False,1374
growth_rotation_159915_300,588000ETF,0.05995,1.4339,2,False,2,False,1374
cross_asset_return_dispersion_z,588000ETF,-0.013814,4.7139,3,False,3,False,1374
cross_asset_avg_correlation,588000ETF,-0.013299,4.4212,2,False,3,False,1374
relative_strength_vs_cross_5d,588000ETF,-0.020988,2.9601,1,True,1,True,1374
vix_level_zscore_60d,588000ETF,0.07303,0.733,0,False,1,False,736
vix_change_3d,588000ETF,0.047223,1.7998,1,False,2,False,736
vix_term_structure_proxy,588000ETF,0.048795,1.2782,1,False,2,False,736
obv_slope_10d,159915ETF,-0.014441,3.8541,6,False,4,False,3534
ad_line_slope_10d,159915ETF,-0.023575,2.0921,5,False,2,False,3534
negative_volume_index_change,159915ETF,-0.006922,8.7925,7,False,4,False,3539
positive_volume_index_change,159915ETF,-0.015527,3.0039,5,False,2,False,3539
force_index_10d,159915ETF,-0.006426,6.7824,5,False,4,False,3525
ease_of_movement_10d,159915ETF,0.019881,2.7666,6,True,1,False,3516
money_flow_index_14d,159915ETF,-0.015801,3.844,8,False,3,False,3531
pvt_slope_10d,159915ETF,-0.008221,6.1312,7,False,5,False,3533
volume_differential_10d,159915ETF,-0.014543,3.8297,6,False,3,False,3535
return_skewness_20d,159915ETF,0.018593,2.9022,5,False,2,False,3524
return_kurtosis_20d,159915ETF,0.019668,2.5345,6,False,3,False,3524
path_loopiness_5d,159915ETF,-0.019366,2.8836,5,False,1,False,3539
ulcer_index_14d,159915ETF,-0.00799,8.6407,7,False,5,False,3518
current_drawdown_from_peak_20d,159915ETF,-0.025207,1.7825,5,False,2,False,3525
max_drawdown_20d,159915ETF,0.017178,3.8705,6,False,4,False,3506
mfe_mae_ratio_5d,159915ETF,-0.013924,4.1455,5,False,3,False,3540
pain_index_20d,159915ETF,-0.011161,4.4324,4,False,3,False,3506
amihud_illiquidity_10d,159915ETF,0.000455,85.2427,4,False,6,False,3534
liquidity_efficiency_ratio_10d,159915ETF,-0.004174,20.3738,5,False,4,False,3485
roll_spread_proxy_10d,159915ETF,-0.016965,3.4854,4,False,3,False,3534
volume_per_trade_trend_5d,159915ETF,-0.009998,7.0424,7,False,3,False,3525
turnover_zscore_20d,159915ETF,0.006251,10.9887,9,False,3,False,3525
weekly_return_5d,159915ETF,-0.021404,2.4174,5,False,4,False,3524
weekly_atr_position,159915ETF,-0.024585,2.242,4,False,2,False,3540
monthly_high_proximity,159915ETF,-0.012341,4.205,4,False,4,False,3524
quarterly_trend_direction,159915ETF,-0.021293,2.6394,6,False,4,False,3531
monthly_momentum_zscore,159915ETF,0.004316,13.1152,7,False,3,False,3464
options_expiry_proximity,159915ETF,0.038017,1.7636,5,False,2,False,3544
first_day_of_month_flag,159915ETF,-0.031208,2.1787,4,False,2,False,3544
week_of_month,159915ETF,-0.004565,15.2489,6,False,4,False,3544
pre_holiday_flag,159915ETF,0.008679,6.0265,6,True,1,False,3544
month_end_effect_5d,159915ETF,0.003787,14.4008,8,False,3,False,3544
cross_asset_breadth_score,159915ETF,0.013449,2.9231,2,False,4,False,3544
size_rotation_50_300,159915ETF,0.003033,16.2371,9,False,4,False,3544
breadth_rotation_500_300,159915ETF,0.008959,5.6165,6,False,2,False,3544
growth_rotation_588_300,159915ETF,-0.001213,24.0555,4,False,6,False,3544
growth_rotation_159915_300,159915ETF,-0.010245,3.6962,8,False,4,False,3544
cross_asset_return_dispersion_z,159915ETF,-0.002214,28.2022,9,False,2,False,3544
cross_asset_avg_correlation,159915ETF,7.6e-05,749.6778,6,False,3,False,3544
relative_strength_vs_cross_5d,159915ETF,-0.008804,4.5151,3,False,5,False,3544
vix_level_zscore_60d,159915ETF,0.014413,4.1743,1,False,2,False,906
vix_change_3d,159915ETF,-0.01974,2.3709,2,False,3,False,906
vix_term_structure_proxy,159915ETF,0.010513,6.1224,2,False,2,False,906
