date,0,1,2,3,4,5,6,7
2015-03-04,-0.51019764,-0.5435583,0.16907786,0.13612247,0.17595403,-0.09809387,-0.32164088,0.16918038
2015-03-05,-0.2266837,-0.37759614,0.26781258,0.08575241,0.15554634,0.0793118,-0.21442619,0.19725558
2015-03-06,-0.0020613223,-0.24953249,0.34997472,0.061739534,0.13640304,0.2125064,-0.099346,0.19665122
2015-03-09,-0.5481745,-0.5751819,0.1686878,0.10969136,0.17611942,-0.1251879,-0.34562874,0.1546863
2015-03-10,-0.50473493,-0.54577684,0.1849984,0.12383894,0.17407872,-0.08300905,-0.32098475,0.15446445
2015-03-11,-0.19957343,-0.344204,0.23545401,0.12807865,0.14024001,0.040974364,-0.18379655,0.20332284
2015-03-12,-0.17353104,-0.35450917,0.33024314,0.13226555,0.16354881,0.21512662,-0.16253795,0.18287045
2015-03-13,-0.39240026,-0.47554392,0.17638306,0.059679013,0.19086842,-0.07772195,-0.31200334,0.264876
2015-03-16,-0.49810252,-0.5478596,0.18818504,0.08952607,0.18120354,-0.08487412,-0.334419,0.17453916
2015-03-17,-0.22704065,-0.3724444,0.2606857,0.12807654,0.13200961,0.05985908,-0.1769999,0.13691345
2015-03-18,-0.42571044,-0.49783385,0.18472412,0.06794091,0.17280972,-0.09388149,-0.3114873,0.20850322
2015-03-19,-0.24152355,-0.384095,0.2612577,0.11270713,0.16608931,0.091382876,-0.21112698,0.20219398
2015-03-20,-0.403947,-0.4777258,0.22687574,0.18699487,0.17446677,0.043488543,-0.25294244,0.15146995
2015-03-23,-0.50095594,-0.5436852,0.16677386,0.097572446,0.19307737,-0.100988716,-0.33913392,0.21306181
2015-03-24,-0.40964395,-0.5135254,0.30362996,0.0017618164,0.2140963,0.10940112,-0.37711808,0.25824988
2015-03-25,-0.35758257,-0.4442011,0.21389686,0.13916694,0.17404856,0.012071053,-0.26561713,0.2152551
2015-03-26,-0.07613845,-0.2915222,0.38269842,0.10721975,0.11277655,0.23045677,-0.108935095,0.117080726
2015-03-27,-0.38038266,-0.48385966,0.24099751,0.0220389,0.18409741,-0.0049545746,-0.32322165,0.22733396
2015-03-30,-0.1812773,-0.3549986,0.31717572,0.1019004,0.15867324,0.17415611,-0.18640128,0.19091097
2015-03-31,-0.5154319,-0.54301244,0.17888583,0.14493269,0.14841172,-0.11240399,-0.31636435,0.1245589
2015-04-01,-0.44223607,-0.50999963,0.2044541,0.09779539,0.18497759,-0.037585482,-0.31182438,0.19802149
2015-04-02,-0.3225528,-0.4395399,0.2210489,0.086831376,0.1781453,0.0062391125,-0.2515924,0.20725727
2015-04-03,-0.3839352,-0.47373587,0.23561819,0.10477401,0.17234641,0.017759223,-0.28835285,0.1894742
2015-04-07,-0.37413847,-0.46787453,0.23057811,0.11689003,0.17153645,0.015361544,-0.26671174,0.17402476
2015-04-08,0.003949754,-0.25354552,0.38126776,0.0353461,0.1368547,0.24041836,-0.10646658,0.18364733
2015-04-09,-0.17947912,-0.37943673,0.2488872,-0.08034251,0.31395084,0.16394676,-0.31081173,0.4859618
2015-04-10,-0.530244,-0.56058204,0.17458172,0.14491902,0.17524816,-0.09320757,-0.31830308,0.13690147
2015-04-13,-0.3597641,-0.44979703,0.20136283,0.10794778,0.15563548,-0.047567505,-0.2627685,0.18574598
2015-04-14,-0.23984477,-0.37326097,0.23976399,0.1596154,0.14064088,0.052468177,-0.1727182,0.14963466
2015-04-15,-0.039920848,-0.25803086,0.32474518,0.06470671,0.12688074,0.15833467,-0.13301823,0.20336053
